pwdprmor,pwdstcrd,pwdsloan,pwarppg,pwarrspl,pwarrif,pwaotpen,pwatfs,pefatinc,pweight,pagemieg,peducmie,total_retirement_assets,retirement_preparedness,has_mortage,has_cc,has_student,retirement_preparedness_log
135000,3800,0,825000,120000,0,0,0,201925,618.6602,8,2,945000,4.679955428995914,1,1,0,1.8991113152202934
0,0,0,155000,0,0,0,57500,46000,1259.0779,12,1,212500,4.619565217391305,0,0,0,1.8900296906608567
0,0,20000,0,1050000,0,0,72500,146200,430.901,9,4,1122500,7.677838577291381,0,0,1,2.2698385888862287
0,0,0,23000,49000,0,0,3000,63975,1581.1287,10,4,75000,1.1723329425556859,0,0,0,1.1544672612390543
47500,24000,0,41000,0,0,0,0,89125,1104.907,8,3,41000,0.4600280504908836,1,1,0,0.9001727525178325
0,0,0,0,420000,0,350000,0,320250,602.6539,12,4,770000,2.4043715846994536,0,0,0,1.4825975896652073
0,0,0,650000,450000,0,0,92500,172850,198.3567,11,4,1192500,6.899045415099797,0,0,0,2.1859440142553197
0,0,0,37000,0,0,0,0,11100,3468.8525,14,1,37000,3.3333333333333335,0,0,0,1.6739764335716716
165000,3900,0,0,6750,0,0,0,20150,3170.0009,6,3,6750,0.3349875930521092,1,1,0,0.8480065776386966
46000,0,0,20000,0,0,0,1000,104950,2032.4742,8,2,21000,0.20009528346831826,1,0,0,0.7885006700938076
100000,10500,0,100000,19000,0,0,0,142700,2931.5874,6,4,119000,0.833917309039944,1,1,0,1.0416599626635257
110000,6000,0,950000,2500,0,0,2900,105975,652.8613,9,3,955400,9.015333805142722,1,1,0,2.3992882843927457
0,575,0,0,70000,0,0,475,78125,1078.3806,11,2,70475,0.90208,0,1,0,1.0654277212770658
170000,1000,0,0,290000,0,0,90000,126225,957.8266,9,2,380000,3.010497128144187,1,1,0,1.6115351373485713
0,0,0,1200000,6250,0,0,0,90750,495.3711,10,1,1206250,13.292011019283747,0,0,0,2.7273305364253106
0,0,0,145000,460000,125000,0,5750,55025,1623.7453,9,3,735750,13.371194911403908,0,0,0,2.7324952976258627
0,0,0,725000,0,0,0,0,159075,1142.9484,10,4,725000,4.557598617004557,0,0,0,1.8806244714570273
30000,0,0,525000,0,0,0,0,77600,175.6857,10,4,525000,6.765463917525773,1,0,0,2.170819445383922
900000,0,0,200000,200000,0,0,0,77175,7157.2602,8,3,400000,5.183025591188857,1,0,0,1.9717206858301377
100000,29000,0,460000,0,0,0,0,86325,578.7565,9,1,460000,5.328699681436432,1,1,0,1.9917981033592167
120000,26000,0,1000000,525000,0,55000,5000,98475,175.0033,8,2,1585000,16.095455699416096,1,1,0,2.89566084041875
230000,0,0,0,72500,0,0,0,88300,1959.9708,8,4,72500,0.8210645526613817,1,0,0,1.0371143146582205
95000,3700,2100,490000,20000,0,0,0,137200,844.1334,8,4,510000,3.717201166180758,1,1,1,1.7434793790304062
0,0,0,100000,82500,0,0,40000,44075,1040.5194,11,2,222500,5.048213272830402,0,0,0,1.9527741482257688
0,0,0,0,18000,0,0,70000,49025,2416.9221,11,3,88000,1.7950025497195308,0,0,0,1.3336850827102213
0,0,0,5000,0,950,0,6750,36150,2140.9162,14,2,12700,0.35131396957123096,0,0,0,0.8549743078855429
